name,offerBy,link,skills
IBM Data Science Professional Certificate,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']"
Data Science Specialization,Johns Hopkins University,https://www.coursera.org/specializations/jhu-data-science,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Applied Data Science with Python Specialization,University of Michigan,https://www.coursera.org/specializations/data-science-python,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']"
Introduction to Data Science Specialization,IBM,https://www.coursera.org/specializations/introduction-data-science,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Ipython']"
Data Science: Foundations using R Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-foundations-r,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Data Science: Statistics and Machine Learning Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-statistics-machine-learning,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistics', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Model Selection', 'Generalized Linear Model', 'Linear Regression', 'Random Forest']"
Python for Everybody Specialization,University of Michigan,https://www.coursera.org/specializations/python,"['Json', 'Xml', 'Python Programming', 'Database (DBMS)', 'Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Data Structure', 'Tuple', 'Web Scraping', 'Sqlite', 'SQL']"
Applied Data Science Specialization,IBM,https://www.coursera.org/specializations/applied-data-science,"['Data Science', 'Machine Learning', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Pandas', 'Numpy', 'Predictive Modelling', 'Model Selection', 'Data Virtualization', 'Matplotlib']"
What is Data Science? ,IBM,https://www.coursera.org/learn/what-is-datascience,
Advanced Data Science with IBM Specialization,IBM,https://www.coursera.org/specializations/advanced-data-science-ibm,"['Data Science', 'Internet Of Things (IOT)', 'Deep Learning', 'Apache Spark', 'Statistics', 'Machine Learning', 'Long Short-Term Memory (ISTM)']"
IBM Data Science Professional Certificate,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']"
Data Science Specialization,Johns Hopkins University,https://www.coursera.org/specializations/jhu-data-science,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Applied Data Science with Python Specialization,University of Michigan,https://www.coursera.org/specializations/data-science-python,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']"
Accounting Data Analytics Specialization,University of Illinois at Urbana-Champaign,https://www.coursera.org/specializations/accounting-data-analytics,"['Machine Learning', 'Python Programming', 'Data Visualization (DataViz)', 'Data Preparation', 'Exploratory Data Analysis', 'Data Analysis', 'Predictive Analytics', 'Data Architecture', 'coding', 'Linear Regression', 'SQL', 'Text Analysis']"
Introduction to Data Science Specialization,IBM,https://www.coursera.org/specializations/introduction-data-science,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Ipython']"
Data Science: Foundations using R Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-foundations-r,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Data Science: Statistics and Machine Learning Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-statistics-machine-learning,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistics', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Model Selection', 'Generalized Linear Model', 'Linear Regression', 'Random Forest']"
Python for Everybody Specialization,University of Michigan,https://www.coursera.org/specializations/python,"['Json', 'Xml', 'Python Programming', 'Database (DBMS)', 'Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Data Structure', 'Tuple', 'Web Scraping', 'Sqlite', 'SQL']"
Applied Data Science Specialization,IBM,https://www.coursera.org/specializations/applied-data-science,"['Data Science', 'Machine Learning', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Pandas', 'Numpy', 'Predictive Modelling', 'Model Selection', 'Data Virtualization', 'Matplotlib']"
What is Data Science? ,IBM,https://www.coursera.org/learn/what-is-datascience,
IBM Data Science Professional Certificate,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']"
Data Science Specialization,Johns Hopkins University,https://www.coursera.org/specializations/jhu-data-science,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Applied Data Science with Python Specialization,University of Michigan,https://www.coursera.org/specializations/data-science-python,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']"
Introduction to Data Science Specialization,IBM,https://www.coursera.org/specializations/introduction-data-science,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Ipython']"
Data Science: Foundations using R Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-foundations-r,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Data Science: Statistics and Machine Learning Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-statistics-machine-learning,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistics', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Model Selection', 'Generalized Linear Model', 'Linear Regression', 'Random Forest']"
Python for Everybody Specialization,University of Michigan,https://www.coursera.org/specializations/python,"['Json', 'Xml', 'Python Programming', 'Database (DBMS)', 'Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Data Structure', 'Tuple', 'Web Scraping', 'Sqlite', 'SQL']"
Applied Data Science Specialization,IBM,https://www.coursera.org/specializations/applied-data-science,"['Data Science', 'Machine Learning', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Pandas', 'Numpy', 'Predictive Modelling', 'Model Selection', 'Data Virtualization', 'Matplotlib']"
What is Data Science? ,IBM,https://www.coursera.org/learn/what-is-datascience,
Advanced Data Science with IBM Specialization,IBM,https://www.coursera.org/specializations/advanced-data-science-ibm,"['Data Science', 'Internet Of Things (IOT)', 'Deep Learning', 'Apache Spark', 'Statistics', 'Machine Learning', 'Long Short-Term Memory (ISTM)']"
IBM Data Science Professional Certificate,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']"
Data Science Specialization,Johns Hopkins University,https://www.coursera.org/specializations/jhu-data-science,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Applied Data Science with Python Specialization,University of Michigan,https://www.coursera.org/specializations/data-science-python,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']"
Introduction to Data Science Specialization,IBM,https://www.coursera.org/specializations/introduction-data-science,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Ipython']"
Data Science: Foundations using R Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-foundations-r,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Data Science: Statistics and Machine Learning Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-statistics-machine-learning,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistics', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Model Selection', 'Generalized Linear Model', 'Linear Regression', 'Random Forest']"
Python for Everybody Specialization,University of Michigan,https://www.coursera.org/specializations/python,"['Json', 'Xml', 'Python Programming', 'Database (DBMS)', 'Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Data Structure', 'Tuple', 'Web Scraping', 'Sqlite', 'SQL']"
Applied Data Science Specialization,IBM,https://www.coursera.org/specializations/applied-data-science,"['Data Science', 'Machine Learning', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Pandas', 'Numpy', 'Predictive Modelling', 'Model Selection', 'Data Virtualization', 'Matplotlib']"
What is Data Science? ,IBM,https://www.coursera.org/learn/what-is-datascience,
Advanced Data Science with IBM Specialization,IBM,https://www.coursera.org/specializations/advanced-data-science-ibm,"['Data Science', 'Internet Of Things (IOT)', 'Deep Learning', 'Apache Spark', 'Statistics', 'Machine Learning', 'Long Short-Term Memory (ISTM)']"
IBM Data Science Professional Certificate,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']"
Data Science Specialization,Johns Hopkins University,https://www.coursera.org/specializations/jhu-data-science,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Applied Data Science with Python Specialization,University of Michigan,https://www.coursera.org/specializations/data-science-python,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']"
Accounting Data Analytics Specialization,University of Illinois at Urbana-Champaign,https://www.coursera.org/specializations/accounting-data-analytics,"['Machine Learning', 'Python Programming', 'Data Visualization (DataViz)', 'Data Preparation', 'Exploratory Data Analysis', 'Data Analysis', 'Predictive Analytics', 'Data Architecture', 'coding', 'Linear Regression', 'SQL', 'Text Analysis']"
Introduction to Data Science Specialization,IBM,https://www.coursera.org/specializations/introduction-data-science,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Ipython']"
Data Science: Foundations using R Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-foundations-r,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Data Science: Statistics and Machine Learning Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-statistics-machine-learning,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistics', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Model Selection', 'Generalized Linear Model', 'Linear Regression', 'Random Forest']"
Python for Everybody Specialization,University of Michigan,https://www.coursera.org/specializations/python,"['Json', 'Xml', 'Python Programming', 'Database (DBMS)', 'Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Data Structure', 'Tuple', 'Web Scraping', 'Sqlite', 'SQL']"
Applied Data Science Specialization,IBM,https://www.coursera.org/specializations/applied-data-science,"['Data Science', 'Machine Learning', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Pandas', 'Numpy', 'Predictive Modelling', 'Model Selection', 'Data Virtualization', 'Matplotlib']"
What is Data Science? ,IBM,https://www.coursera.org/learn/what-is-datascience,
IBM Data Science Professional Certificate,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']"
Data Science Specialization,Johns Hopkins University,https://www.coursera.org/specializations/jhu-data-science,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Applied Data Science with Python Specialization,University of Michigan,https://www.coursera.org/specializations/data-science-python,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']"
Accounting Data Analytics Specialization,University of Illinois at Urbana-Champaign,https://www.coursera.org/specializations/accounting-data-analytics,"['Machine Learning', 'Python Programming', 'Data Visualization (DataViz)', 'Data Preparation', 'Exploratory Data Analysis', 'Data Analysis', 'Predictive Analytics', 'Data Architecture', 'coding', 'Linear Regression', 'SQL', 'Text Analysis']"
Introduction to Data Science Specialization,IBM,https://www.coursera.org/specializations/introduction-data-science,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Ipython']"
Data Science: Foundations using R Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-foundations-r,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Data Science: Statistics and Machine Learning Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-statistics-machine-learning,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistics', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Model Selection', 'Generalized Linear Model', 'Linear Regression', 'Random Forest']"
Python for Everybody Specialization,University of Michigan,https://www.coursera.org/specializations/python,"['Json', 'Xml', 'Python Programming', 'Database (DBMS)', 'Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Data Structure', 'Tuple', 'Web Scraping', 'Sqlite', 'SQL']"
Applied Data Science Specialization,IBM,https://www.coursera.org/specializations/applied-data-science,"['Data Science', 'Machine Learning', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Pandas', 'Numpy', 'Predictive Modelling', 'Model Selection', 'Data Virtualization', 'Matplotlib']"
What is Data Science? ,IBM,https://www.coursera.org/learn/what-is-datascience,
IBM Data Science Professional Certificate,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']"
Data Science Specialization,Johns Hopkins University,https://www.coursera.org/specializations/jhu-data-science,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Applied Data Science with Python Specialization,University of Michigan,https://www.coursera.org/specializations/data-science-python,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']"
Introduction to Data Science Specialization,IBM,https://www.coursera.org/specializations/introduction-data-science,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Ipython']"
Data Science: Foundations using R Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-foundations-r,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Data Science: Statistics and Machine Learning Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-statistics-machine-learning,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistics', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Model Selection', 'Generalized Linear Model', 'Linear Regression', 'Random Forest']"
Python for Everybody Specialization,University of Michigan,https://www.coursera.org/specializations/python,"['Json', 'Xml', 'Python Programming', 'Database (DBMS)', 'Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Data Structure', 'Tuple', 'Web Scraping', 'Sqlite', 'SQL']"
Applied Data Science Specialization,IBM,https://www.coursera.org/specializations/applied-data-science,"['Data Science', 'Machine Learning', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Pandas', 'Numpy', 'Predictive Modelling', 'Model Selection', 'Data Virtualization', 'Matplotlib']"
What is Data Science? ,IBM,https://www.coursera.org/learn/what-is-datascience,
Advanced Data Science with IBM Specialization,IBM,https://www.coursera.org/specializations/advanced-data-science-ibm,"['Data Science', 'Internet Of Things (IOT)', 'Deep Learning', 'Apache Spark', 'Statistics', 'Machine Learning', 'Long Short-Term Memory (ISTM)']"
IBM Data Science Professional Certificate,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']"
Data Science Specialization,Johns Hopkins University,https://www.coursera.org/specializations/jhu-data-science,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Applied Data Science with Python Specialization,University of Michigan,https://www.coursera.org/specializations/data-science-python,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']"
Accounting Data Analytics Specialization,University of Illinois at Urbana-Champaign,https://www.coursera.org/specializations/accounting-data-analytics,"['Machine Learning', 'Python Programming', 'Data Visualization (DataViz)', 'Data Preparation', 'Exploratory Data Analysis', 'Data Analysis', 'Predictive Analytics', 'Data Architecture', 'coding', 'Linear Regression', 'SQL', 'Text Analysis']"
Introduction to Data Science Specialization,IBM,https://www.coursera.org/specializations/introduction-data-science,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Ipython']"
Data Science: Foundations using R Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-foundations-r,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Data Science: Statistics and Machine Learning Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-statistics-machine-learning,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistics', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Model Selection', 'Generalized Linear Model', 'Linear Regression', 'Random Forest']"
Python for Everybody Specialization,University of Michigan,https://www.coursera.org/specializations/python,"['Json', 'Xml', 'Python Programming', 'Database (DBMS)', 'Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Data Structure', 'Tuple', 'Web Scraping', 'Sqlite', 'SQL']"
Applied Data Science Specialization,IBM,https://www.coursera.org/specializations/applied-data-science,"['Data Science', 'Machine Learning', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Pandas', 'Numpy', 'Predictive Modelling', 'Model Selection', 'Data Virtualization', 'Matplotlib']"
What is Data Science? ,IBM,https://www.coursera.org/learn/what-is-datascience,
IBM Data Science Professional Certificate,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']"
Data Science Specialization,Johns Hopkins University,https://www.coursera.org/specializations/jhu-data-science,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Applied Data Science with Python Specialization,University of Michigan,https://www.coursera.org/specializations/data-science-python,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']"
Accounting Data Analytics Specialization,University of Illinois at Urbana-Champaign,https://www.coursera.org/specializations/accounting-data-analytics,"['Machine Learning', 'Python Programming', 'Data Visualization (DataViz)', 'Data Preparation', 'Exploratory Data Analysis', 'Data Analysis', 'Predictive Analytics', 'Data Architecture', 'coding', 'Linear Regression', 'SQL', 'Text Analysis']"
Introduction to Data Science Specialization,IBM,https://www.coursera.org/specializations/introduction-data-science,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Ipython']"
Data Science: Foundations using R Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-foundations-r,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
Data Science: Statistics and Machine Learning Specialization,Johns Hopkins University,https://www.coursera.org/specializations/data-science-statistics-machine-learning,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistics', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Model Selection', 'Generalized Linear Model', 'Linear Regression', 'Random Forest']"
Python for Everybody Specialization,University of Michigan,https://www.coursera.org/specializations/python,"['Json', 'Xml', 'Python Programming', 'Database (DBMS)', 'Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Data Structure', 'Tuple', 'Web Scraping', 'Sqlite', 'SQL']"
Applied Data Science Specialization,IBM,https://www.coursera.org/specializations/applied-data-science,"['Data Science', 'Machine Learning', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Pandas', 'Numpy', 'Predictive Modelling', 'Model Selection', 'Data Virtualization', 'Matplotlib']"
What is Data Science? ,IBM,https://www.coursera.org/learn/what-is-datascience,
